FFQ	76	55	0	57	249	426	123	105	155	189	151	165	128	214	201	198	217	149	157	282	214	330	361	146	469	595	762	635	502	1005	1522	1861	4246	8011	7883	3708	619	19	9	5	2	0	0
FFQ	77	57	1	97	232	411	121	156	154	200	230	97	236	240	183	226	161	147	298	256	361	248	303	194	558	719	578	911	770	968	1659	3169	3833	7027	7098	3587	603	7	9	9	10	1	0
FFQ	78	60	1	90	278	417	140	146	157	272	176	137	202	233	212	179	277	283	197	289	344	210	298	252	730	609	534	825	677	1328	1639	2928	4227	7326	7232	2563	641	11	1	2	2	0	0
FFQ	79	63	0	90	264	504	117	184	189	220	177	224	261	171	297	118	230	305	157	277	353	356	208	412	715	658	436	805	1007	929	1874	2948	4480	7036	6791	2576	658	24	10	1	0	0	0
FFQ	80	62	1	98	294	389	181	204	161	230	183	228	220	234	282	207	173	259	176	375	345	328	266	290	601	814	638	775	751	1327	2186	2893	4409	7695	6436	2122	273	10	6	3	0	0	0
FFQ	81	66	0	50	326	428	215	100	190	228	169	258	155	241	290	164	364	185	341	296	115	484	331	284	516	635	747	714	853	1164	1130	2737	3959	6253	7694	3666	693	67	10	7	0	0	0
FFQ	82	64	2	127	332	447	158	220	135	204	261	211	256	332	121	475	142	162	383	176	514	187	444	193	706	783	851	781	765	993	1813	2509	3953	7112	7293	2544	463	11	2	0	0	0	0
FFQ	83	67	0	120	344	469	163	223	189	202	240	208	278	315	226	372	187	185	372	333	455	251	421	180	675	703	904	852	560	1428	1608	2894	4742	6943	5997	2411	569	16	18	4	1	0	0
FFQ	84	65	1	115	400	495	190	210	217	263	267	164	287	310	231	351	283	215	320	352	413	284	498	186	654	810	637	1122	747	1090	2487	3483	4396	6879	5739	1620	324	17	3	0	0	0	0
FFQ	85	67	2	117	376	522	221	188	227	318	221	210	355	241	311	327	294	233	320	331	440	426	383	317	572	972	637	1049	788	1185	2409	3035	4288	7373	5347	1695	291	31	5	1	0	0	0
FFQ	86	68	0	86	492	542	145	184	210	240	283	319	179	268	325	187	351	314	212	482	203	460	472	461	174	909	727	855	1061	850	1544	2259	4173	5967	7627	3115	336	42	3	0	0	0	0
FFQ	87	69	0	89	464	572	258	142	277	304	279	258	290	295	355	311	327	321	239	384	377	457	459	340	335	1065	693	772	1200	1221	1816	2722	4690	6412	5634	2170	494	29	5	0	0	0	0
FFQ	88	72	0	89	482	666	193	195	303	317	331	229	373	306	306	337	279	328	363	241	496	476	510	289	303	1140	655	899	1116	1013	2459	2244	4496	6420	5392	2298	504	5	0	0	0	0	0
FFQ	89	72	0	148	437	685	219	222	277	279	318	303	400	337	236	435	242	241	538	261	514	349	526	306	610	1013	952	720	969	1387	2003	2584	4697	6600	5004	1813	397	24	7	0	0	0	0
FFQ	90	81	2	84	529	675	246	239	374	316	328	255	362	317	275	551	242	238	481	273	630	347	537	359	667	941	991	908	1185	1253	2164	2708	4137	6837	4678	1560	348	7	0	0	0	0	0
FFQ	91	322	0	109	578	658	177	221	317	270	386	307	311	437	406	266	498	261	393	467	287	794	394	580	701	737	1200	707	1139	1710	1793	3053	3954	4987	4486	2455	734	30	0	0	0	0	0
FFQ	92	79	2	109	598	662	195	299	306	338	335	394	267	439	427	320	521	294	296	604	147	868	297	673	481	863	997	1182	1188	823	1746	2873	4297	5428	5373	2019	331	46	4	4	0	0	0
FFQ	93	114	0	135	599	727	323	152	402	367	403	281	248	466	425	360	389	392	325	393	350	634	527	518	581	803	1097	980	1059	1249	2291	2868	4362	5940	4051	2002	280	32	0	0	0	0	0
FFQ	94	107	0	114	657	670	275	271	377	397	410	321	368	462	361	466	312	415	429	342	523	666	653	374	539	1067	864	1012	1128	1281	2256	2655	4345	5238	4255	2070	364	71	10	0	0	0	0
FFQ	95	119	0	119	675	835	256	218	417	333	387	367	343	468	398	647	313	296	624	296	563	484	693	317	745	1128	691	1238	946	1569	2367	2740	4520	5421	3895	1494	201	2	0	0	0	0	0
FFQ	96	117	0	157	776	730	308	293	316	387	421	338	366	237	472	548	316	570	337	393	501	339	807	653	460	887	879	1191	945	1264	1925	2639	2793	5612	4992	2648	447	47	10	4	0	0	0
FFQ	97	122	0	125	798	793	254	379	323	383	467	411	416	470	485	260	541	506	253	696	285	743	586	729	239	1142	1091	1289	605	1895	1580	2513	4146	4728	4570	2043	242	17	0	0	0	0	0
FFQ	98	129	0	126	834	855	248	343	380	457	605	297	339	576	533	364	665	314	385	614	440	777	600	565	347	1100	1055	1179	1153	901	2060	2275	5109	4150	4723	1468	156	3	0	0	0	0	0
FFQ	99	122	0	138	957	800	270	346	414	503	571	306	379	705	386	417	683	375	204	867	342	798	573	691	560	885	1258	853	1617	1293	1889	2739	3933	4862	3993	1237	144	15	0	0	0	0	0
FFQ	100	133	0	119	916	964	349	225	519	483	500	457	289	637	523	518	557	375	365	617	569	827	715	477	502	1031	1530	826	1207	1644	1999	2748	4158	5260	3108	766	164	48	0	0	0	0	0
FFQ	101	135	0	156	963	1090	206	338	250	472	535	563	457	343	662	585	468	520	513	504	556	395	937	753	493	650	981	1112	1216	1366	1491	2185	2783	5269	4570	2078	500	28	2	0	0	0	0
FFQ	102	132	0	149	1077	925	408	351	354	581	485	565	539	382	579	524	638	665	274	854	351	1088	425	849	240	1155	1015	1045	1061	1240	1779	2673	2717	5215	4027	1711	36	11	5	0	0	0	0
FFQ	103	141	0	140	1151	900	450	401	366	570	629	525	565	607	521	547	719	505	318	913	251	1130	308	961	573	960	1200	1128	1600	1119	1263	2959	3540	4584	3853	728	0	0	0	0	0	0	0
FFQ	104	150	0	147	1197	979	356	437	447	507	618	561	559	653	533	540	883	392	217	1024	263	1097	539	712	624	1007	1312	1110	1381	1736	2025	2285	4091	4124	2903	702	12	1	1	0	0	0	0
FFQ	105	144	0	158	1170	1000	401	497	484	621	668	416	580	678	580	628	782	378	633	716	410	1068	765	563	717	1022	1420	1178	962	1835	2405	2425	4035	4785	1898	99	3	1	0	0	0	0	0
FFQ	106	151	0	159	1244	1314	268	383	393	593	638	603	474	431	749	790	403	834	481	682	702	205	1122	1029	203	1260	1061	1003	1230	1463	1943	2526	2818	5002	2880	1086	2	0	0	0	0	0	0
FFQ	107	152	0	216	1349	1299	261	507	342	562	855	553	537	400	896	562	756	781	514	745	611	535	992	947	220	1257	1220	1075	1144	1098	2081	2573	2430	4992	2659	1000	4	0	0	0	0	0	0
FFQ	108	148	151	173	1627	1595	752	516	881	684	824	557	902	818	723	790	605	513	1016	958	330	1109	1026	775	1199	1049	1338	704	1898	1518	2320	2236	2821	2425	1115	28	0	1	0	0	0	0	0
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	0	0	0	0	219	759	532	703	551	536	347	1212	875	730	729	940	1164	2260	1247	1519	2203	1327	2378	5604	40500	3664	12649	78615	11635	58	0	0	0	0	0	0	0	0	0	0	0	0
